130.191.19.37	tmsds.sdsu.edu
130.191.19.38	agbell.sdsu.edu
130.191.19.39	tmssdsu.sdsu.edu
130.191.19.46	sequoyah.sdsu.edu
130.191.19.48	eca.sdsu.edu
130.191.19.64	hamilton.sdsu.edu
130.191.19.81	pythagoras.sdsu.edu
130.191.19.82	tecumseh.sdsu.edu
130.191.19.83	torvald.ad.tns.sdsu.edu
130.191.19.84	fibonacci.sdsu.edu
130.191.19.88	wheatstone.sdsu.edu
130.191.19.90	maxfield.sdsu.edu
130.191.19.91	munson.sdsu.edu
130.191.19.92	mason.sdsu.edu
130.191.19.131	ekans2.sdsu.edu
130.191.20.5	fenile.sdsu.edu
130.191.20.30	ping.sdsu.edu
130.191.20.31	papershredder.sdsu.edu
130.191.20.32	wasctest.sdsu.edu
130.191.20.33	pong.sdsu.edu
130.191.21.87	faculty-room.sdsu.edu
130.191.21.100	demo0.sdsu.edu
130.191.21.101	demo1.sdsu.edu
130.191.21.102	demo2.sdsu.edu
130.191.21.103	demo3.sdsu.edu
130.191.21.171	dlowenst.sdsu.edu
130.191.21.172	prana.sdsu.edu
130.191.21.176	d4.sdsu.edu
130.191.21.177	morden.sdsu.edu
130.191.21.180	capturedev.sdsu.edu
130.191.21.199	bats.sdsu.edu
130.191.21.202	roomservice.sdsu.edu
130.191.21.203	itsorcl.sdsu.edu
130.191.21.209	its-big-momma.sdsu.edu
130.191.21.210	its-dept.sdsu.edu
130.191.21.212	mediasite6.sdsu.edu
130.191.21.213	msvideo.sdsu.edu
130.191.21.215	msvideo1.sdsu.edu
130.191.21.219	roomservice2.sdsu.edu
130.191.21.228	itsstorage.sdsu.edu
130.191.21.229	itsdev1.sdsu.edu
130.191.21.230	itsdev2.sdsu.edu
130.191.21.237	atlas1.sdsu.edu
130.191.21.238	atlas2.sdsu.edu
130.191.21.239	atlas3.sdsu.edu
130.191.22.81	granet.sdsu.edu
130.191.22.90	righ.sdsu.edu
130.191.23.19	garfield.sdsu.edu
130.191.23.120	sophie.sdsu.edu
130.191.23.121	sa2001.sdsu.edu
130.191.24.11	muse.sdsu.edu
130.191.24.70	www.avpaa.sdsu.edu
130.191.24.92	oir.sdsu.edu
130.191.24.101	asir-mac.sdsu.edu
130.191.24.102	boggart.sdsu.edu
130.191.25.50	billybob.sdsu.edu
130.191.27.3	thelonius.sdsu.edu
130.191.27.5	reverie.sdsu.edu
130.191.27.6	dream.sdsu.edu
130.191.27.14	moonraker.sdsu.edu
130.191.27.33	embed.sdsu.edu
130.191.27.36	tlotma.sdsu.edu
130.191.27.38	pogonip.sdsu.edu
130.191.27.40	metis.sdsu.edu
130.191.27.47	voip.cs.sdsu.edu
130.191.27.48	io.sdsu.edu
130.191.27.49	carme.sdsu.edu
130.191.27.50	atlas.sdsu.edu
130.191.27.51	titan.sdsu.edu
130.191.27.52	telesto.sdsu.edu
130.191.27.53	calypso.sdsu.edu
130.191.27.54	phoebe.sdsu.edu
130.191.27.55	dione.sdsu.edu
130.191.27.56	mimas.sdsu.edu
130.191.27.57	janus.sdsu.edu
130.191.27.90	ophelia2.sdsu.edu
130.191.27.97	waterspout.sdsu.edu
130.191.27.98	seagull.sdsu.edu
130.191.27.99	neptune.sdsu.edu
130.191.27.100	medusa.sdsu.edu
130.191.27.101	falcon.sdsu.edu
130.191.27.102	bronco.sdsu.edu
130.191.27.103	skipper.sdsu.edu
130.191.27.104	cormorant.sdsu.edu
130.191.27.105	alta.sdsu.edu
130.191.27.125	cunik.sdsu.edu
130.191.27.133	kastav.sdsu.edu
130.191.27.134	susak.sdsu.edu
130.191.27.135	stars.sdsu.edu
130.191.27.136	stripes.sdsu.edu
130.191.27.137	crisis.sdsu.edu
130.191.27.141	gridportals.sdsu.edu
130.191.27.143	moondoggie.acel.sdsu.edu
130.191.27.144	pipeline0.acel.sdsu.edu
130.191.27.145	pipeline1.acel.sdsu.edu
130.191.27.146	pipeline2.acel.sdsu.edu
130.191.27.147	pipeline3.acel.sdsu.edu
130.191.27.148	rugby.sdsu.edu
130.191.27.150	dulcinea.sdsu.edu
130.191.27.227	ophelia.sdsu.edu
130.191.27.242	goodmem.sdsu.edu
130.191.27.244	moocow.sdsu.edu
130.191.27.245	myth.sdsu.edu
130.191.28.3	math-lw2.sdsu.edu
130.191.28.4	palacios-lp.sdsu.edu
130.191.28.5	math-lw3.sdsu.edu
130.191.28.7	cos-dean-lw.sdsu.edu
130.191.28.8	cos-dean-xerox.sdsu.edu
130.191.28.10	lorien.sdsu.edu
130.191.28.11	lothlorien.sdsu.edu
130.191.28.12	weathertop.sdsu.edu
130.191.28.13	shire.sdsu.edu
